NETime(ps)	MD_run	Estarttime(ns)	E_Distance(Å)	NE_Distance(Å)	Change(Å)
0ns	1	50	9.983	9.983	0.000
0ns	1	60	9.057	9.057	0.000
0ns	1	70	8.050	8.050	0.000
0ns	1	75	8.515	8.515	0.000
0ns	1	80	10.241	10.241	0.000
0ns	1	90	8.848	8.848	0.000
0ns	1	100	9.062	9.062	0.000
0ns	1	110	10.180	10.180	0.000
0ns	1	120	11.507	11.507	0.000
0ns	1	125	8.171	8.171	0.000
0ns	1	130	8.459	8.459	0.000
0ns	1	140	8.805	8.805	0.000
0ns	1	150	14.119	14.119	0.000
0ns	1	160	14.425	14.425	0.000
0ns	1	170	14.574	14.574	0.000
0ns	1	175	14.885	14.885	0.000
0ns	1	180	11.485	11.485	0.000
0ns	1	190	11.516	11.516	0.000
0ns	1	200	16.409	16.409	0.000
0ns	1	210	15.577	15.577	0.000
0ns	1	220	12.796	12.796	0.000
0ns	1	225	13.747	13.747	0.000
0ns	1	230	14.919	14.919	0.000
0ns	1	240	15.594	15.594	0.000
0ns	1	250	14.186	14.186	0.000
0ns	1	260	20.037	20.037	0.000
0ns	1	270	16.297	16.297	0.000
0ns	1	275	17.888	17.888	0.000
0ns	1	280	16.851	16.851	0.000
0ns	1	290	17.132	17.132	0.000
0ns	1	300	13.471	13.471	0.000
0ns	1	310	17.234	17.234	0.000
0ns	1	320	18.546	18.546	0.000
0ns	1	325	17.150	17.150	0.000
0ns	1	330	14.834	14.834	0.000
0ns	1	340	14.930	14.930	0.000
0ns	1	350	14.895	14.895	0.000
0ns	1	360	15.695	15.695	0.000
0ns	1	370	15.268	15.268	0.000
0ns	1	375	18.028	18.028	0.000
0ns	1	380	17.273	17.273	0.000
0ns	1	390	16.062	16.062	0.000
0ns	1	400	17.450	17.450	0.000
0ns	1	410	16.651	16.651	0.000
0ns	1	420	16.261	16.261	0.000
0ns	1	425	18.091	18.091	0.000
0ns	1	430	14.251	14.251	0.000
0ns	1	440	15.001	15.001	-0.000
0ns	1	450	17.295	17.295	0.000
0ns	1	460	13.346	13.346	0.000
0ns	1	470	17.173	17.173	0.000
0ns	1	475	14.843	14.843	0.000
0ns	1	480	13.445	13.445	0.000
0ns	1	490	18.658	18.658	0.000
0ns	1	500	14.657	14.657	0.000
0ns	2	50	24.210	24.210	0.000
0ns	2	60	16.863	16.863	0.000
0ns	2	70	14.551	14.551	0.000
0ns	2	75	17.062	17.062	0.000
0ns	2	80	19.024	19.024	0.000
0ns	2	90	18.524	18.524	0.000
0ns	2	100	20.634	20.634	0.000
0ns	2	110	17.554	17.554	0.000
0ns	2	120	18.134	18.134	0.000
0ns	2	125	19.159	19.159	0.000
0ns	2	130	20.840	20.840	0.000
0ns	2	140	17.778	17.778	0.000
0ns	2	150	14.769	14.769	0.000
0ns	2	160	19.881	19.881	0.000
0ns	2	170	18.150	18.150	0.000
0ns	2	175	19.479	19.479	0.000
0ns	2	180	19.804	19.804	0.000
0ns	2	190	19.439	19.439	0.000
0ns	2	200	21.108	21.108	0.000
0ns	2	210	19.656	19.656	0.000
0ns	2	220	21.311	21.311	0.000
0ns	2	225	21.161	21.161	0.000
0ns	2	230	20.843	20.843	0.000
0ns	2	240	21.335	21.335	0.000
0ns	2	250	20.321	20.321	0.000
0ns	2	260	22.335	22.335	0.000
0ns	2	270	18.260	18.260	0.000
0ns	2	275	19.978	19.978	0.000
0ns	2	280	22.577	22.577	0.000
0ns	2	290	22.536	22.536	0.000
0ns	2	300	18.934	18.934	0.000
0ns	2	310	18.007	18.007	0.000
0ns	2	320	17.133	17.133	0.000
0ns	2	325	13.358	13.358	0.000
0ns	2	330	18.936	18.936	0.000
0ns	2	340	27.788	27.788	-0.000
0ns	2	350	25.105	25.105	0.000
0ns	2	360	24.882	24.882	0.000
0ns	2	370	24.445	24.445	0.000
0ns	2	375	23.691	23.691	0.000
0ns	2	380	26.927	26.927	0.000
0ns	2	390	24.201	24.201	0.000
0ns	2	400	32.723	32.723	-0.000
0ns	2	410	30.827	30.827	0.000
0ns	2	420	26.553	26.553	0.000
0ns	2	425	37.207	37.207	0.000
0ns	2	430	31.973	31.973	0.000
0ns	2	440	33.663	33.663	0.000
0ns	2	450	34.668	34.668	0.000
0ns	2	460	31.818	31.818	0.000
0ns	2	470	31.240	31.240	0.000
0ns	2	475	28.586	28.586	0.000
0ns	2	480	30.725	30.725	0.000
0ns	2	490	26.980	26.980	0.000
0ns	2	500	34.096	34.096	0.000
0ns	3	50	13.648	13.648	0.000
0ns	3	60	13.006	13.006	0.000
0ns	3	70	13.574	13.574	0.000
0ns	3	75	15.185	15.185	0.000
0ns	3	80	15.849	15.849	0.000
0ns	3	90	13.357	13.357	0.000
0ns	3	100	14.649	14.649	0.000
0ns	3	110	13.696	13.696	0.000
0ns	3	120	13.159	13.159	0.000
0ns	3	125	12.677	12.677	0.000
0ns	3	130	13.856	13.856	0.000
0ns	3	140	13.288	13.288	0.000
0ns	3	150	11.082	11.082	0.000
0ns	3	160	15.795	15.795	0.000
0ns	3	170	15.435	15.435	0.000
0ns	3	175	15.871	15.871	0.000
0ns	3	180	13.023	13.023	0.000
0ns	3	190	12.239	12.239	0.000
0ns	3	200	10.775	10.775	0.000
0ns	3	210	14.948	14.948	0.000
0ns	3	220	14.905	14.905	0.000
0ns	3	225	15.110	15.110	0.000
0ns	3	230	14.982	14.982	0.000
0ns	3	240	12.720	12.720	0.000
0ns	3	250	14.600	14.600	0.000
0ns	3	260	13.973	13.973	0.000
0ns	3	270	16.935	16.935	0.000
0ns	3	275	18.283	18.283	0.000
0ns	3	280	19.860	19.860	0.000
0ns	3	290	18.984	18.984	0.000
0ns	3	300	21.681	21.681	0.000
0ns	3	310	17.398	17.398	-0.000
0ns	3	320	17.546	17.546	0.000
0ns	3	325	21.036	21.036	-0.000
0ns	3	330	19.024	19.024	0.000
0ns	3	340	18.213	18.213	0.000
0ns	3	350	18.001	18.001	0.000
0ns	3	360	17.865	17.865	0.000
0ns	3	370	18.585	18.585	-0.000
0ns	3	375	19.213	19.213	0.000
0ns	3	380	19.580	19.580	0.000
0ns	3	390	17.581	17.581	0.000
0ns	3	400	19.307	19.307	0.000
0ns	3	410	19.820	19.820	0.000
0ns	3	420	18.428	18.428	0.000
0ns	3	425	17.600	17.600	0.000
0ns	3	430	18.260	18.260	0.000
0ns	3	440	19.374	19.374	0.000
0ns	3	450	17.782	17.782	0.000
0ns	3	460	18.283	18.283	0.000
0ns	3	470	19.071	19.071	0.000
0ns	3	475	19.041	19.041	0.000
0ns	3	480	15.450	15.450	0.000
0ns	3	490	19.268	19.268	-0.000
0ns	3	500	17.656	17.656	0.000
0ns	4	50	11.451	11.451	0.000
0ns	4	60	11.859	11.859	0.000
0ns	4	70	13.321	13.321	0.000
0ns	4	75	11.946	11.946	0.000
0ns	4	80	12.176	12.176	0.000
0ns	4	90	13.960	13.960	0.000
0ns	4	100	17.438	17.438	0.000
0ns	4	110	16.519	16.519	0.000
0ns	4	120	9.693	9.693	0.000
0ns	4	125	11.485	11.485	0.000
0ns	4	130	13.042	13.042	0.000
0ns	4	140	10.905	10.905	0.000
0ns	4	150	12.334	12.334	0.000
0ns	4	160	11.808	11.808	0.000
0ns	4	170	11.683	11.683	0.000
0ns	4	175	11.216	11.216	0.000
0ns	4	180	12.447	12.447	0.000
0ns	4	190	11.728	11.728	0.000
0ns	4	200	10.091	10.091	0.000
0ns	4	210	11.135	11.135	0.000
0ns	4	220	10.529	10.529	0.000
0ns	4	225	12.152	12.152	0.000
0ns	4	230	9.800	9.800	0.000
0ns	4	240	13.023	13.023	0.000
